"symbol","uniprot","ensembl","entrez","name"
"PHGDH","O43175","ENSG00000092621",26227,NA
"LRRFIP2","Q9Y608","ENSG00000093167",9209,NA
"MAP1B","P46821","ENSG00000131711",4131,NA
"PCF11","O94913","ENSG00000165494",51585,NA
"TAGLN2","P37802","ENSG00000158710",8407,NA
"IDH3A","P50213","ENSG00000166411",3419,NA
"CAT","P04040","ENSG00000121691",847,NA
"AHNAK","Q09666","ENSG00000124942",79026,NA
"LMNB2","Q03252","ENSG00000176619",84823,NA
"UBE3C","Q15386","ENSG00000009335",9690,NA
"PPP2R1B","P30154","ENSG00000137713",5519,NA
"CDC37","Q16543","ENSG00000105401",11140,NA
"TBC1D9B","Q66K14","ENSG00000284400",23061,NA
"TBC1D15","Q8TC07","ENSG00000121749",64786,NA
"DBNL","Q9UJU6","ENSG00000136279",28988,NA
"RANBP2","P49792","ENSG00000153201",5903,NA
"IPO8","O15397","ENSG00000133704",10526,NA
"YWHAB","P31946","ENSG00000166913",7529,NA
"DAAM1","Q9Y4D1","ENSG00000100592",23002,NA
"HNRNPM","P52272","ENSG00000099783",4670,NA
"HNRNPC","P07910","ENSG00000092199",3183,NA
"UBR5","O95071","ENSG00000104517",51366,NA
"PABPC5","Q96DU9","ENSG00000174740",140886,NA
"RPLP0","P05388","ENSG00000089157",6175,NA
"RPL3","P39023","ENSG00000100316",6122,NA
"RPL28","P46779","ENSG00000108107",6158,NA
"RPLP1","P05386","ENSG00000137818",6176,NA
"RPLP2","P05387","ENSG00000177600",6181,NA
"HNRNPUL1","Q9BUJ2","ENSG00000105323",11100,NA
"TIMM50","Q3ZCQ8","ENSG00000105197",92609,NA
"PABPC1L","Q4VXU2","ENSG00000101104",80336,NA
"PABPC4","Q13310","ENSG00000090621",8761,NA
"TP53BP1","Q12888","ENSG00000067369",7158,NA
"PPP2CA","P67775","ENSG00000113575",5515,NA
"SSR4","P51571","ENSG00000180879",6748,NA
"IRS4","O14654","ENSG00000133124",8471,NA
"DDOST","P39656","ENSG00000244038",1650,NA
"SF3B2","Q13435","ENSG00000087365",10992,NA
"FBXO21","O94952","ENSG00000135108",23014,NA
"ATXN10","Q9UBB4","ENSG00000130638",25814,NA
"MYO1B","O43795","ENSG00000128641",4430,NA
"CALHM3","Q86XJ0","ENSG00000183128",119395,NA
"CCT8","P50990","ENSG00000156261",10694,NA
"COG6","Q9Y2V7","ENSG00000133103",57511,NA
"CPNE1","Q99829","ENSG00000214078",8904,NA
"CTNNB1","P35222","ENSG00000168036",1499,NA
"DCTN1","Q14203","ENSG00000204843",1639,NA
"DES","P17661","ENSG00000175084",1674,NA
"DNM2","P50570","ENSG00000079805",1785,NA
"EXOC8","Q8IYI6","ENSG00000116903",149371,NA
"FABP5","Q01469","ENSG00000164687",2171,NA
"FASN","P49327","ENSG00000169710",2194,NA
"IDH3B","O43837","ENSG00000101365",3420,NA
"IGF2BP2","Q9Y6M1","ENSG00000073792",10644,NA
"LAMA5","O15230","ENSG00000130702",3911,NA
"LAMP1","P11279","ENSG00000185896",3916,NA
"LTF","P02788","ENSG00000012223",4057,NA
"MYL12A","Q53X45",NA,NA,NA
"MYL12A","P19105","ENSG00000101608",10627,NA
"NAP1L1","P55209","ENSG00000187109",4673,NA
"NUP210","Q8TEM1","ENSG00000132182",23225,NA
"PCMT1","P22061","ENSG00000120265",5110,NA
"PGRMC2","O15173","ENSG00000164040",10424,NA
"PPP2R1A","P30153","ENSG00000105568",5518,NA
"PRDX2","P32119","ENSG00000167815",7001,NA
"PSMC6","P62333","ENSG00000100519",5706,NA
"PTMA","P06454","ENSG00000187514",5757,NA
"RASEF","Q8IZ41","ENSG00000165105",158158,NA
